title,author,publishedYear
The Alchemist,Paulo Coelho,1988
Atomic Habits,James Clear,2018
Clean Code,Robert C. Martin,2008
The Great Gatsby,F. Scott Fitzgerald,1925
1984,George Orwell,1949
To Kill a Mockingbird,Harper Lee,1960
Pride and Prejudice,Jane Austen,1813
The Catcher in the Rye,J.D. Salinger,1951
The Hobbit,J.R.R. Tolkien,1937
Fahrenheit 451,Ray Bradbury,1953
Jane Eyre,Charlotte Bronte,1847
Animal Farm,George Orwell,1945
Wuthering Heights,Emily Bronte,1847
Brave New World,Aldous Huxley,1932
The Picture of Dorian Gray,Oscar Wilde,1890
Lord of the Flies,William Golding,1954
The Chronicles of Narnia,C.S. Lewis,1950
Harry Potter and the Sorcerer's Stone,J.K. Rowling,1997
The Kite Runner,Khaled Hosseini,2003
The Book Thief,Markus Zusak,2005
The Hunger Games,Suzanne Collins,2008
The Da Vinci Code,Dan Brown,2003
The Girl with the Dragon Tattoo,Stieg Larsson,2005
Gone Girl,Gillian Flynn,2012
The Fault in Our Stars,John Green,2012
The Help,Kathryn Stockett,2009
Life of Pi,Yann Martel,2001
Dune,Frank Herbert,1965
Ender's Game,Orson Scott Card,1985
Foundation,Isaac Asimov,1951
Neuromancer,William Gibson,1984
Snow Crash,Neal Stephenson,1992
The Hitchhiker's Guide to the Galaxy,Douglas Adams,1979
A Game of Thrones,George R.R. Martin,1996
The Name of the Wind,Patrick Rothfuss,2007
The Way of Kings,Brandon Sanderson,2010
Good Omens,Neil Gaiman & Terry Pratchett,1990
American Gods,Neil Gaiman,2001
The Night Circus,Erin Morgenstern,2011
Ready Player One,Ernest Cline,2011
The Martian,Andy Weir,2011
Project Hail Mary,Andy Weir,2021
Dark Matter,Blake Crouch,2016
Sapiens: A Brief History of Humankind,Yuval Noah Harari,2011
Educated,Tara Westover,2018
Becoming,Michelle Obama,2018
Thinking Fast and Slow,Daniel Kahneman,2011
Quiet: The Power of Introverts,Susan Cain,2012
Outliers: The Story of Success,Malcolm Gladwell,2008
Steve Jobs,Walter Isaacson,2011
Born a Crime,Trevor Noah,2016
Shoe Dog,Phil Knight,2016
Rich Dad Poor Dad,Robert Kiyosaki,1997
Think and Grow Rich,Napoleon Hill,1937
The Psychology of Money,Morgan Housel,2020
Deep Work,Cal Newport,2016
Digital Minimalism,Cal Newport,2019
Essentialism: The Disciplined Pursuit of Less,Greg McKeown,2014
Start with Why,Simon Sinek,2009
Leaders Eat Last,Simon Sinek,2014
Zero to One,Peter Thiel,2014
The Lean Startup,Eric Ries,2011
Hooked: How to Build Habit-Forming Products,Nir Eyal,2014
Crushing It!,Gary Vaynerchuk,2018
The 4-Hour Workweek,Tim Ferriss,2007
Tools of Titans,Tim Ferriss,2016
Greenlights,Matthew McConaughey,2020
Can't Hurt Me,David Goggins,2018
Man's Search for Meaning,Viktor Frankl,1946
Meditations,Marcus Aurelius,180
The Art of War,Sun Tzu,-500
The Republic,Plato,-375
Crime and Punishment,Fyodor Dostoevsky,1866
War and Peace,Leo Tolstoy,1869
Anna Karenina,Leo Tolstoy,1877
The Brothers Karamazov,Fyodor Dostoevsky,1880
Les Miserables,Victor Hugo,1862
The Count of Monte Cristo,Alexandre Dumas,1844
Don Quixote,Miguel de Cervantes,1605
Moby Dick,Herman Melville,1851
Frankenstein,Mary Shelley,1818
Dracula,Bram Stoker,1897
The Odyssey,Homer,-800
The Iliad,Homer,-750
Ulysses,James Joyce,1922
One Hundred Years of Solitude,Gabriel Garcia Marquez,1967
Beloved,Toni Morrison,1987
Invisible Man,Ralph Ellison,1952
The Color Purple,Alice Walker,1982
Their Eyes Were Watching God,Zora Neale Hurston,1937
Slaughterhouse-Five,Kurt Vonnegut,1969
Catch-22,Joseph Heller,1961
Of Mice and Men,John Steinbeck,1937
The Grapes of Wrath,John Steinbeck,1939
East of Eden,John Steinbeck,1952
The Road,Cormac McCarthy,2006
Blood Meridian,Cormac McCarthy,1985
No Country for Old Men,Cormac McCarthy,2005
The Shining,Stephen King,1977
It,Stephen King,1986
The Stand,Stephen King,1978
Misery,Stephen King,1987
Pet Sematary,Stephen King,1983
Carrie,Stephen King,1974
Salem's Lot,Stephen King,1975
Doctor Sleep,Stephen King,2013
Under the Dome,Stephen King,2009
11/22/63,Stephen King,2011
The Green Mile,Stephen King,1996
The Gunslinger,Stephen King,1982
A Time to Kill,John Grisham,1989
The Firm,John Grisham,1991
The Pelican Brief,John Grisham,1992
The Client,John Grisham,1993
Jurassic Park,Michael Crichton,1990
The Lost World,Michael Crichton,1995
Sphere,Michael Crichton,1987
Congo,Michael Crichton,1980
Timeline,Michael Crichton,1999
Prey,Michael Crichton,2002
Next,Michael Crichton,2006
Micro,Michael Crichton,2011
Pirate Latitudes,Michael Crichton,2009
Dragon Teeth,Michael Crichton,2017
The Andromeda Strain,Michael Crichton,1969
The Terminal Man,Michael Crichton,1972
The Great Train Robbery,Michael Crichton,1975
Eaters of the Dead,Michael Crichton,1976
Disclosure,Michael Crichton,1994
Airframe,Michael Crichton,1996
State of Fear,Michael Crichton,2004
